,paperID,pos_score,sent_pos,text
119,pagesOfTextToDisplay-1,0.05514894798398018,119,Deleting rows.
158,pagesOfTextToDisplay-1,0.05514894798398018,158,NO_MAX)) .push(dwsplit('split').on(dw.
108,pagesOfTextToDisplay-1,0.05514894798398018,108,Row deletion.
206,pagesOfTextToDisplay-1,0.05514894798398018,206,skolemization ).
441,pagesOfTextToDisplay-1,0.05261732637882233,441,"Moreover, the user study tasks involved small data sets amenable to manual manipulation."
378,pagesOfTextToDisplay-1,0.04736892879009247,378,"e) Finally, we construct regular expressions for each candidate pattern."
176,pagesOfTextToDisplay-1,0.039015304297208786,176,In the next section we describe the Wrangler trans-formation language.
371,pagesOfTextToDisplay-1,0.03660153970122337,371,a) The user selects text in a cell. (
144,pagesOfTextToDisplay-1,0.033242613077163696,144,5) and executes the transform.
130,pagesOfTextToDisplay-1,0.03273647278547287,130,A ghosted table overlay previews the result.
412,pagesOfTextToDisplay-1,0.02537081390619278,412,Task 1: Extract Text .
165,pagesOfTextToDisplay-1,0.025035971775650978,165,DOWN)) .push(dw.unfold('Year').above('Property_crime_rate')) Figure 7.
263,pagesOfTextToDisplay-1,0.023947445675730705,263,Editable Natural Language Descriptions. (
370,pagesOfTextToDisplay-1,0.02265043929219246,370,Regular Expression Inference. (
430,pagesOfTextToDisplay-1,0.021187348291277885,430,0 1 2 3 4 5 6 7 8 9 10 T1 T2 T3 User Study Task Completion Time (minutes) Wrangler Excel Figure 11.
128,pagesOfTextToDisplay-1,0.019990382716059685,128,Table reshaping.
141,pagesOfTextToDisplay-1,0.017689954489469528,141,"In response, the analyst selects the Delete command from the Rows menu in the transform editor."
295,pagesOfTextToDisplay-1,0.01758846640586853,295,Visual preview of a fold operation.
17,pagesOfTextToDisplay-1,0.01749209314584732,17,data warehousing projects [4].
410,pagesOfTextToDisplay-1,0.01695013791322708,410,We randomized the presentation of tasks and tools across subjects.
133,pagesOfTextToDisplay-1,0.015883490443229675,133,The analyst clicks the gray bar and Wrangler suggests transforms for missing values.
367,pagesOfTextToDisplay-1,0.015135370194911957,367,Ranking Suggested Transforms Wrangler then rank-orders transform suggestions according to five criteria.
416,pagesOfTextToDisplay-1,0.014713766053318977,416,Task 2: Fill Missing Values .
262,pagesOfTextToDisplay-1,0.013591635972261429,262,Translation is Figure 8.
105,pagesOfTextToDisplay-1,0.012288271449506283,105,"She selects the text 'Alaska' in row 6 of the ""Year"" column."
92,pagesOfTextToDisplay-1,0.01142428070306778,92,"In this case, she has no need."
245,pagesOfTextToDisplay-1,0.0107504827901721,245,Wrangler does not immediately execute a selected suggestion.
381,pagesOfTextToDisplay-1,0.01033532153815031,381,"Second, we consider specification difficulty."
97,pagesOfTextToDisplay-1,0.010281141847372055,97,The first suggestion is to delete just the selected row.
87,pagesOfTextToDisplay-1,0.0075819231569767,87,The interface now shows a data table (Fig.
406,pagesOfTextToDisplay-1,0.007177895400673151,406,Subjects rated their prior experience with Excel on a 10-point scale (1 being basic knowledge and 10 being expert); the median score was 5.
330,pagesOfTextToDisplay-1,0.0070475139655172825,330,"Transform suggestion proceeds in three phases: inferring transform parameters from user interactions, generating candidate transforms from inferred parameters, and finally ranking the results."
320,pagesOfTextToDisplay-1,0.006204130593687296,320,Wrangler infers semantic roles analogously.
107,pagesOfTextToDisplay-1,0.005822283681482077,107,"The analyst updates Wrangler's Data Wrangler Export Import Split data repeatedly on newline into rows Split split repeatedly on ',' Promote row 0 to header Delete row 7 Delete empty rows Fill row 7 by copying values from above Fill row 7 by copying values from below Fold using row 7 as a key Fold Year using row 7 as a key Transform Script Text Split Cut Columns Fill Drop Rows Delete Fill Promote Table Fold Unfold Clear Year Property_crime_rate 0 Reported crime in Alabama 2 2004 4029.3 3 2005 3900 4 2006 3937 5 2007 3974.9 6 2008 4081.9 8 Reported crime in Alaska 10 2004 3370.9 11 2005 3615 12 2006 3582 13 2007 3373.9 14 2008 2928.3 16 Reported crime in Arizona 18 2004 5073.3 19 2005 4827 20 2006 4741.6 21 2007 4502.6 22 2008 4087.3 24 Reported crime in Arkansas 1 7 9 15 17 23 25 Figure 2."
178,pagesOfTextToDisplay-1,0.005637658294290304,178,"Next, we describe Wrangler's mechanisms for verification."
113,pagesOfTextToDisplay-1,0.005631969776004553,113,The analyst selects state names to extract them into a new column.
359,pagesOfTextToDisplay-1,0.005472014658153057,359,It is then straightforward to translate matching label sequences into regular expressions.
109,pagesOfTextToDisplay-1,0.0052392627112567425,109,The analyst selects an empty row and chooses a delete transform.
49,pagesOfTextToDisplay-1,0.0051145837642252445,49,Wrangler is one piece of a larger effort to address bottlenecks in the data lifecycle by integrating insights and methods from the HCI and database communities.
420,pagesOfTextToDisplay-1,0.0050371428951621056,420,1 Task 3: Reshape Table Structure .
375,pagesOfTextToDisplay-1,0.0049168504774570465,375,c) We enumerate all label sequences matching the text. (
401,pagesOfTextToDisplay-1,0.004754162393510342,401,We chose Excel because it is the most popular data manipulation tool and provides an ecologically valid baseline for comparison: all subjects use it regularly and half selfreport as experts.
177,pagesOfTextToDisplay-1,0.004715812858194113,177,We then present the Wrangler interface and its techniques for navigating suggestion space.
104,pagesOfTextToDisplay-1,0.004581550136208534,104,"The analyst would like to compare data across states, so she now needs to extract the state names and add them to each row of the data."
259,pagesOfTextToDisplay-1,0.004380022641271353,259,We also sought to make parameters within descriptions readable by non-experts.
352,pagesOfTextToDisplay-1,0.004245281219482422,352,For column selections we simply return the columns that users have interacted with.
120,pagesOfTextToDisplay-1,0.00396833335980773,120,"The analyst selects text in an unwanted row and selects a delete operation within the ""Rows"" menu."
13,pagesOfTextToDisplay-1,0.003946189768612385,13,Others estimate that data cleaning is responsible for up to 80% of the development time and cost in Permission to make digital or hard copies of all or part of this work for personal or classroom use is granted without fee provided that copies are not made or distributed for profit or commercial advantage and that copies bear this notice and the full citation on the first page.
72,pagesOfTextToDisplay-1,0.003944007679820061,72,"Ajax [8] also provides an interface to specify transforms, with advanced facilities for entity resolution."
396,pagesOfTextToDisplay-1,0.003676558379083872,396,"Finally, we attempt to surface diverse transform types in the final suggestion list."
454,pagesOfTextToDisplay-1,0.0031974257435649633,454,"We performed an ANOVA and found a significant difference among the ratings ( F 2 , 33 = 17.33, p< 0.001)."
268,pagesOfTextToDisplay-1,0.003155567217618227,268,only performed with regular expressions generated by the Wrangler inference engine.
66,pagesOfTextToDisplay-1,0.003013267880305648,66,"However, Wrangler differs in important ways."
451,pagesOfTextToDisplay-1,0.0029922309331595898,451,"If only imperfect matches were found, users then selected the nearest transform and edited its parameters."
217,pagesOfTextToDisplay-1,0.0028367710765451193,217,We sought a consistent mapping between the transforms shown in the interface and statements in the language.
76,pagesOfTextToDisplay-1,0.002816148102283478,76,"Though users can specify some commands graphically, others must be written in a command language."
106,pagesOfTextToDisplay-1,0.002622749423608184,106,Wrangler initially interprets this as selecting text at positions 18-24.
402,pagesOfTextToDisplay-1,0.002340726787224412,402,Excel also supports our chosen tasks.
19,pagesOfTextToDisplay-1,0.0022269526962190866,19,"Moreover, this hurdle discourages many people from working with data in the first place."
103,pagesOfTextToDisplay-1,0.0022022787015885115,103,The system then adds the deletion operation to the history view.
240,pagesOfTextToDisplay-1,0.0021353703923523426,240,"Instead of enumerating the entire suggestion space, users can prune and reorder the space in three ways."
114,pagesOfTextToDisplay-1,0.0020825478713959455,114,Yellow highlights show a preview of the result.
433,pagesOfTextToDisplay-1,0.00200509000569582,433,Median Wrangler performance is over twice as fast in all tasks.
351,pagesOfTextToDisplay-1,0.001986417220905423,351,"We list predicates of the form ""row is empty"" and ""column [equals | starts with | ends with | contains] selectedvalue"", then emit the selections that match the rows and text currently selected in the interface."
233,pagesOfTextToDisplay-1,0.001760525512509048,233,Textual annotations enable communication of analyst intent.
122,pagesOfTextToDisplay-1,0.0016563213430345058,122,inference by selecting 'Arizona' in the cell six rows below.
63,pagesOfTextToDisplay-1,0.0016524528618901968,63,Other interfaces [15] apply PBD to data integration via copy and paste actions.
356,pagesOfTextToDisplay-1,0.0015654976014047861,356,"We then enumerate label sequences that match the text before, within, and after the selection range (see Fig."
186,pagesOfTextToDisplay-1,0.0014743736246600747,186,Language statements manipulate data tables with numbered rows and named columns of data.
188,pagesOfTextToDisplay-1,0.0014676027931272984,188,"The language consists of eight classes of transforms, described below."
386,pagesOfTextToDisplay-1,0.0014364722883328795,386,"In the case of text selection, we also consider the length of the selected text."
147,pagesOfTextToDisplay-1,0.0014135325327515602,147,"She selects the ""Year"" and ""Property_crime_rate"" columns, previews the suggested unfold operation (Fig."
366,pagesOfTextToDisplay-1,0.0013380610616877675,366,"We then filter the suggestion set to remove ""degenerate"" (noop) transforms that would have no effect on the data."
448,pagesOfTextToDisplay-1,0.0013203031849116087,448,"One subject noted, ""I just look at the picture."""
452,pagesOfTextToDisplay-1,0.0013177365763112903,452,"In other words, users turned to manual parameterization only as a last resort."
265,pagesOfTextToDisplay-1,0.0013031740672886372,265,b) Clicking on a parameter reveals an in-place editor. (
167,pagesOfTextToDisplay-1,0.001234545954503119,167,The script encodes a step-by-step description of how to operate on input data; a Wrangler runtime evaluates the script to produce transformed data.
422,pagesOfTextToDisplay-1,0.0011945831356570125,422,"The target data set contained the same data formatted as a cross-tab: the data contained one row for each year, with the 12 months as column headers and housing prices as cell values."
281,pagesOfTextToDisplay-1,0.001180462772026658,281,Deletion previews color to-be-deleted cells in red (Fig.
342,pagesOfTextToDisplay-1,0.0011471603065729141,342,Text selections are equivalent if both (a) are indexbased selections or (b) contain regular expressions.
198,pagesOfTextToDisplay-1,0.0011236631544306874,198,Wrangler provides two reshaping operators: fold and unfold .
348,pagesOfTextToDisplay-1,0.0011232084361836314,348,We infer a parameter's values independent of the other parameters.
51,pagesOfTextToDisplay-1,0.001111797639168799,51,"These techniques include methods for detecting erroneous values [10, 11], information extraction [1, 25], entity resolution [6], type inference [7], and schema matching [9, 21]."
392,pagesOfTextToDisplay-1,0.001110772485844791,392,We define transform complexity as the sum of complexity scores for each parameter.
277,pagesOfTextToDisplay-1,0.0011085316073149443,277,"In defining these mappings, we attempted to convey a transform's effect with minimum displacement of the original data."
269,pagesOfTextToDisplay-1,0.0010968494461849332,269,"If a user types in a custom expression, Wrangler will reflect their input."
350,pagesOfTextToDisplay-1,0.0010862089693546295,350,We infer row selections based on row indices and predicate matching.
267,pagesOfTextToDisplay-1,0.001082305214367807,267,"In this case, a new window size parameter is displayed for the moving average."
417,pagesOfTextToDisplay-1,0.0010777285788208246,417,We gave users data containing year-by-year agricultural data for three countries.
353,pagesOfTextToDisplay-1,0.0010643417481333017,353,Emitted text selections are either simple index ranges (based directly on selections in the interface) or inferred regular expressions.
196,pagesOfTextToDisplay-1,0.001058535068295896,196,These joins are useful for lookups and for correcting typos for known data types.
199,pagesOfTextToDisplay-1,0.0010545128025114536,199,"Fold collapses multiple columns to two or more columns containing key-value sets, while an unfold creates new column headers from data values; see [22] for an extended discussion."
71,pagesOfTextToDisplay-1,0.0010263612493872643,71,Wrangler extends the Potter's Wheel language with key differences discussed later.
143,pagesOfTextToDisplay-1,0.0009885646868497133,143,She finds the suggestion that deletes the unwanted rows (Fig.
408,pagesOfTextToDisplay-1,0.00094436394283548,408,"We first presented a 10 minute Wrangler tutorial describing how to create, edit, and execute transforms."
440,pagesOfTextToDisplay-1,0.0009100817842409015,440,"Users completed the cleaning tasks significantly more quickly with Wrangler than with Excel, and this speed-up benefitted novice and expert Excel users alike."
93,pagesOfTextToDisplay-1,0.0008844535914249718,93,The analyst then begins wrangling the file into a usable form.
465,pagesOfTextToDisplay-1,0.0008775349706411362,465,"This pitfall was most common in Task 3, where a user might mistakenly filter all but fold operations when an unfold operation was needed."
333,pagesOfTextToDisplay-1,0.000874149554874748,333,We built our initial corpus by wrangling our collection of gathered data sets.
55,pagesOfTextToDisplay-1,0.0008706303196959198,55,"Toped ++ [24] is an interface for creating Topes , objects that validate and transform data."
197,pagesOfTextToDisplay-1,0.0008559737470932305,197,Reshape transforms manipulate table structure and schema.
447,pagesOfTextToDisplay-1,0.0008515482768416405,447,"For other operations, users performed an initial selection and then previewed each suggestion."
100,pagesOfTextToDisplay-1,0.0008424181141890585,100,"For deletions, the preview highlights the candidate deleted rows in red (Fig."
339,pagesOfTextToDisplay-1,0.0008385730907320976,339,We treat two row selections as equivalent if they both (a) contain filtering conditions (either indexor predicate-based) or (b) match all rows in a table.
299,pagesOfTextToDisplay-1,0.0008154943352565169,299,"For instance, in a fold operation, data values that will become keys are colored to match the keys in the output table (Fig."
445,pagesOfTextToDisplay-1,0.0007892977446317673,445,These strategies were largely consistent across users.
232,pagesOfTextToDisplay-1,0.0007892447174526751,232,Natural language descriptions areintended to enhance analysts' ability to review and refine transformation steps.
35,pagesOfTextToDisplay-1,0.0007847444503568113,35,Programming-by-demonstration techniques help analysts specify complex criteria such as regular expressions.
170,pagesOfTextToDisplay-1,0.0007647012243978679,170,"However, after considering different mappings and evaluating their implications, we were unable to devise an intuitive and unambiguous mapping between simple gestures and the full expressiveness of the language."
84,pagesOfTextToDisplay-1,0.0007352889515459538,84,"The data were downloaded as a CSV (comma-separated values) file, but are not immediately usable by other tools: the data contains empty lines, U.S. states are organized in disjoint matrices, and the state names are embedded in other text."
345,pagesOfTextToDisplay-1,0.000722957425750792,345,"As our corpus of transforms grows with more use, we plan to explore more principled approaches (such as clustering) to refine our matching routines."
344,pagesOfTextToDisplay-1,0.000721122371032834,344,We chose these equivalency classes based on exploratory analysis of our corpus and they seem to work well in practice.
54,pagesOfTextToDisplay-1,0.0007105956319719553,54,"Many of these tools provide interfaces for schema matching or entity resolution [3, 9, 16, 23]."
136,pagesOfTextToDisplay-1,0.0007062310469336808,136,"Looking at the ""Year"" column, the analyst notices a red bar in the data quality meter indicating inconsistent data types."
361,pagesOfTextToDisplay-1,0.0007033749716356397,361,"For each parameter set, we loop over each transform type in the language, emitting the types that can accept all parameters in the set."
306,pagesOfTextToDisplay-1,0.0007019838085398078,306,"Upon changes, Wrangler runs the edited script and updates the data table."
304,pagesOfTextToDisplay-1,0.000693781184963882,304,"Transformation Histories and Export As successive transforms are applied, Wrangler adds their descriptions to an interactive transformation history viewer ."
318,pagesOfTextToDisplay-1,0.0006887363269925117,318,"Wrangler applies validation functions to a sample of a column's data to infer these types, assigning the type that validates for over half of the non-missing values."
42,pagesOfTextToDisplay-1,0.0006861056317575276,42,short natural language descriptions —which users can refine via interactive parameters—and visual previews of transform results.
276,pagesOfTextToDisplay-1,0.0006815562373958528,276,"Wrangler maps transforms to at least one of five preview classes: selection, deletion, update, column and table."
95,pagesOfTextToDisplay-1,0.0006784743163734674,95,"First, she clicks a row header for an empty row (7) to select it; the transformation editor suggests possible operations in response (Fig."
8,pagesOfTextToDisplay-1,0.0006775594665668905,8,"Author Keywords Data cleaning, transformation, validation, visualization, programming by demonstration, mixed-initiative interfaces."
248,pagesOfTextToDisplay-1,0.0006742530385963619,248,"Also, a user can instead interact with the table to generate new suggestions that use the working transform as context."
39,pagesOfTextToDisplay-1,0.0006558620953001082,39,"The left panel contains (from top-to-bottom) a history of transforms, a transform selection menu, and automatically suggested transforms based on the current selection."
11,pagesOfTextToDisplay-1,0.0006547623197548091,11,"To improve data quality, analysts must also identify and address issues such as misspellings, missing data, unresolved duplicates, and outliers."
91,pagesOfTextToDisplay-1,0.0006532811094075441,91,"Note that the analyst could undo any transform by clicking the red undo button (which appears upon mouse-over of a transform), or could modify transform parameters in place."
341,pagesOfTextToDisplay-1,0.0006501465104520321,341,We based this rule on the observation that transforms that operate on identical data types are more likely to be similar.
203,pagesOfTextToDisplay-1,0.0006423077429644763,203,"For example, an analyst might fill empty cells with preceding non-empty values."
257,pagesOfTextToDisplay-1,0.0006363266729749739,257,"In most cases, this parameter is left undefined and including it would bloat the description."
266,pagesOfTextToDisplay-1,0.0006088886293582618,266,"c) After editing, the description may update to include new parameters."
288,pagesOfTextToDisplay-1,0.000605410139542073,288,These alter the structure of the table to such an extent that the best preview is to show another table (Fig.
241,pagesOfTextToDisplay-1,0.0005952853825874627,241,"First, users can provide more examples to disambiguate input to the inference engine."
382,pagesOfTextToDisplay-1,0.00059165881248191,382,We have observed that row and text selection predicates are harder to specify than other parameters.
4,pagesOfTextToDisplay-1,0.0005850254092365503,4,"Wrangler combines direct manipulation of visualized data with automatic inference of relevant transforms, enabling analysts to iteratively explore the space of applicable operations and preview their effects."
192,pagesOfTextToDisplay-1,0.0005827164277434349,192,"One-to-many transforms include operations for splitting data into multiple rows, such as splitting a text file on newlines or unnesting arrays and sets."
81,pagesOfTextToDisplay-1,0.0005775116733275354,81,"To help analysts understand the effects of an operation before they commit to it, Wrangler's natural language transform descriptions are augmented by novel transform previews that visualize transform results."
187,pagesOfTextToDisplay-1,0.0005619052681140602,187,"Wrangler treats raw text as a ""degenerate"" table containing one row and one column."
235,pagesOfTextToDisplay-1,0.0005573040107265115,235,Basic Interactions The Wrangler interface supports six basic interactions within the data table.
161,pagesOfTextToDisplay-1,0.0005541783175431192,161,NO_MAX)) .push(dw.filter(dw.isEmpty())) .push(dw.extract('Year')..on(/.*/)).after(/in /) .push(dw.columnName('match').to('State')) .push(dw.fill('State').method(dw.
395,pagesOfTextToDisplay-1,0.0005529359332285821,395,All other parameters are given complexity scores of zero.
36,pagesOfTextToDisplay-1,0.0005517842946574092,36,"To ensure relevance, Wrangler enumerates and rank-orders possible transforms using a model that incorporates user input with the frequency, diversity, and specification difficulty of applicable transform types."
211,pagesOfTextToDisplay-1,0.0005516238743439317,211,"As an example, consider a semantic role defining a zip code ."
450,pagesOfTextToDisplay-1,0.0005453102057799697,450,"When users did not find a transform among the initial suggestions, they most often filtered the suggestions by selecting a transform type from the menu."
181,pagesOfTextToDisplay-1,0.0005416051135398448,181,"Both prior work [8, 17, 22] and empirical data guided the language design."
249,pagesOfTextToDisplay-1,0.0005404554540291429,249,"Natural Language Descriptions To aid apprehension of suggested transforms, Wrangler generates short natural language descriptions of the transform type and parameters."
258,pagesOfTextToDisplay-1,0.0005345718818716705,258,"To edit hidden parameters, users can click the expansion arrow to the left of the description, revealing an editor with entries for all possible parameters."
252,pagesOfTextToDisplay-1,0.0005304517690092325,252,Clicking a link reveals an in-place editor appropriate to the parameter (Fig.
150,pagesOfTextToDisplay-1,0.0005175707628950477,150,The analyst's process results in a transformation script written in a declarative transformation language.
394,pagesOfTextToDisplay-1,0.00050939159700647,394,The complexity of a regular expression is defined to be the number of tokens (described previously) in its description.
244,pagesOfTextToDisplay-1,0.0005068299942649901,244,"Third, users can edit a transform by altering the parameters of a transform to a desired state."
363,pagesOfTextToDisplay-1,0.0004885284579358995,363,Wrangler instantiates each emitted transform with parameters from the parameter set.
446,pagesOfTextToDisplay-1,0.0004820471804123372,446,"For text selection, users frequently provided multiple examples."
283,pagesOfTextToDisplay-1,0.0004806741781067103,283,Update previews overwrite values in a column and indicate differences with yellow highlights (Fig.
52,pagesOfTextToDisplay-1,0.0004778494476340711,52,In the Wrangler interface we seek to surface such techniques in an accessible manner.
224,pagesOfTextToDisplay-1,0.0004726047918666154,224,"To this aim, our interface combines direct manipulation, automatic suggestion, menu-based transform selection, and manual editing of transform parameters."
134,pagesOfTextToDisplay-1,0.0004714825772680342,134,The analyst chooses to fill empty cells with the value from above (Fig.
61,pagesOfTextToDisplay-1,0.0004690479254350066,61,Karma [26] infers text extractors and transformations for web data from examples entered in a table.
429,pagesOfTextToDisplay-1,0.00046846820623613894,429,"1 We acknowledge that this is not an ideal cleaning solution for the data, but it nonetheless served as a useful test."
226,pagesOfTextToDisplay-1,0.00046667002607136965,226,Both novices and experts can find it difficult to specify transform parameters such as regular expressions.
358,pagesOfTextToDisplay-1,0.0004632288764696568,358,"Next we emit all possible combinations of before, within, and after sequences that match all current text selection examples in the interface."
459,pagesOfTextToDisplay-1,0.0004566356656141579,459,"For instance, Task 3 exhibited an uneven distribution of completion times; 7 of the 10 fastest times and 3 of the 4 slowest times were in Wrangler."
418,pagesOfTextToDisplay-1,0.0004553825710900128,418,Some of the values in the data set were blank.
357,pagesOfTextToDisplay-1,0.00045533099910244346,357,10); sequences can contain either an annotation label or the exact token text.
285,pagesOfTextToDisplay-1,0.00045137095730751753,285,"Column previews display new derived columns, e.g., as results from an extract operation (Fig."
397,pagesOfTextToDisplay-1,0.0004443499492481351,397,"We filter the transforms so that no type accounts for more than 1/3 of the suggestions, unless the transform type matches the working transform or the filter results in fewer suggestions than can appear in the interface."
175,pagesOfTextToDisplay-1,0.00044068825081922114,175,"Wrangler is a browser-based web application, written in JavaScript."
180,pagesOfTextToDisplay-1,0.00043844807078130543,180,THE WRANGLER TRANSFORMATION LANGUAGE Underlying the Wrangler interface is a declarative data transformation language.
202,pagesOfTextToDisplay-1,0.0004297753912396729,202,Fill operations generate values based on neighboring values in a row or column and so depend on the sort order of the table.
374,pagesOfTextToDisplay-1,0.00042154951370321214,374,"For each token, we generate a set of matching labels. ("
364,pagesOfTextToDisplay-1,0.00041541128302924335,364,"To determine values for missing parameters, we query the corpus for the top-k (default 4) parameterizations that cooccur most frequently with the provided parameter set."
145,pagesOfTextToDisplay-1,0.00040741945849731565,145,"At this point the analyst has wrangled the data into a proper relational format, sufficient for export to database and visualization tools."
279,pagesOfTextToDisplay-1,0.00040189927676692605,279,Selection previews highlight relevant regions of text in all affected cells (Fig.
264,pagesOfTextToDisplay-1,0.0004004616930615157,264,a) An example of an editable description; highlighted text indicates editable parameters. (
403,pagesOfTextToDisplay-1,0.00039675235166214406,403,Neither Potter's Wheel [22] (no support for fill) nor Google Refine [13] (lack of reshaping) support the full set.
137,pagesOfTextToDisplay-1,0.00039000011747702956,137,"Wrangler has inferred that the column primarily contains numbers, and so has flagged non-numeric values as potential errors."
94,pagesOfTextToDisplay-1,0.00038669913192279637,94,"The analyst could specify transforms explicitly by selecting a transform type from the menu and then assigning values to parameters; however, she instead opts to use direct manipulation along with Wrangler's suggestion engine."
303,pagesOfTextToDisplay-1,0.0003812141658272594,303,The consistent use of colors allows users to associate clauses in a description with their effects in the table.
169,pagesOfTextToDisplay-1,0.00038062408566474915,169,Originally we thought that each of these operators might correspond to a single interaction with example data in a table view.
243,pagesOfTextToDisplay-1,0.0003740877436939627,243,"Second, users can filter the space of transforms by selecting an operator from the transform menu."
131,pagesOfTextToDisplay-1,0.00036942088627256453,131,Color highlights show the correspondence of data between the start and end states.
332,pagesOfTextToDisplay-1,0.0003674493345897645,332,The corpus consists of frequency counts of transform descriptors and initiating interactions.
129,pagesOfTextToDisplay-1,0.0003537177399266511,129,"The analyst selects two columns, and then elects to unfold them to create a cross-tabulation."
216,pagesOfTextToDisplay-1,0.0003533163107931614,216,The Wrangler language design co-evolved with the interface described in subsequent sections.
331,pagesOfTextToDisplay-1,0.0003502416657283902,331,"Usage Corpus and Transform Equivalence To generate and rank transforms, Wrangler's inference engine relies on a corpus of usage statistics."
271,pagesOfTextToDisplay-1,0.0003352383791934699,271,"For most transforms, Wrangler displays these previews in the source data, and not as a separate visualization (e.g., side-by-side before and after views)."
322,pagesOfTextToDisplay-1,0.0003327161830384284,322,Clicking the icon reveals a menu with which users can manually assign a type or role.
12,pagesOfTextToDisplay-1,0.0003319042734801769,12,Our own informal interviews with data analysts have found that these types of transforms constitute the most tedious component of their analytic process.
449,pagesOfTextToDisplay-1,0.00033172228722833097,449,"Users with a programming background spent time reading transform descriptions, whereas the other users relied almost entirely on the previews."
246,pagesOfTextToDisplay-1,0.00033029334736056626,246,"Instead, Wrangler makes it the current working transform ."
399,pagesOfTextToDisplay-1,0.0003270262968726456,399,"Subjects performed three common data cleaning tasks: value extraction, missing value imputation, and table reshaping."
380,pagesOfTextToDisplay-1,0.0003258436336182058,380,"First, we consider explicit interactions: if a user chooses a transform from the menu or selects a current working transform, we assign higher rank to transforms of that type."
193,pagesOfTextToDisplay-1,0.000321677653118968,193,Lookups and joins incorporate data from external tables.
234,pagesOfTextToDisplay-1,0.00031289368052966893,234,Wrangler also couples verification (run in the background as data is transformed) with visualization to help users discover data quality issues.
377,pagesOfTextToDisplay-1,0.00031121360370889306,377,Patterns that do not uniquely match the selected text are filtered (indicated by strike-through). (
313,pagesOfTextToDisplay-1,0.0003101112088188529,313,Users can export both generated scripts and transformed data; clicking the Export button in the transform history invokes export options.
314,pagesOfTextToDisplay-1,0.00030955366673879325,314,"Analysts can later run saved or exported scripts on new data sources, modifying the script as needed."
